City_ID,City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
155,Cooma,AU,75,1554147000,100,-36.24,149.13,39.2,8.05
156,Dingle,PH,24,1554149544,91,11,122.67,74.32,11.03
157,Kahului,US,20,1554149081,65,20.89,-156.47,80.6,5.82
158,Nurota,UZ,12,1554149901,70,40.56,65.69,48.13,16.13
159,Noumea,NC,0,1554147000,93,-22.28,166.46,66.2,9.01
160,Cortez,US,1,1554149812,31,37.35,-108.58,53.01,4.7
161,Isangel,VU,80,1554149358,100,-19.55,169.27,79.9,12.77
162,Enumclaw,US,75,1554149839,42,47.2,-121.99,68,8.05
163,Tornio,FI,0,1554149741,47,61.12,27.27,37.4,10.29
164,Kodiak,US,1,1554149318,9,39.95,-94.76,57,16.11
165,Mujiayingzi,CN,8,1554149902,53,42.12,118.78,19.51,2.71
166,Chitral,PK,12,1554149903,83,35.85,71.79,12.13,1.36
167,Yakeshi,CN,0,1554149903,57,49.28,120.73,4.03,3.09
168,Hokitika,NZ,20,1554149636,100,-42.72,170.96,57.49,8.86
169,Broome,GB,0,1554149295,87,52.47,1.45,48,4.7
170,Ust-Karsk,RU,0,1554149903,69,52.71,118.82,10.06,2.37
171,Avanigadda,IN,0,1554149903,92,16.02,80.92,78.37,7.11
172,Clarence Town,AU,90,1554148838,100,-32.59,151.78,62.01,5.82
173,Bay Roberts,CA,75,1554148915,72,47.58,-53.28,59,28.86
174,Longyearbyen,NO,20,1554144600,60,78.22,15.63,10.4,11.41
175,Asyut,EG,0,1554145200,50,27.18,31.19,57.2,9.17
176,Novikovo,UA,12,1554149904,98,45.05,34.56,36.16,3.27
177,Cabinda,AO,20,1554145200,70,-5.56,12.19,84.2,4.7
178,Grootfontein,NA,64,1554149905,86,-19.56,18.1,62.8,2.82
179,Lata,IN,0,1554149905,60,30.78,78.62,41.29,2.82
180,Mahebourg,MU,20,1554149342,83,-20.41,57.7,75.2,3.36
181,Kawerau,NZ,0,1554149823,88,-38.09,176.7,63,1.01
182,Rocha,UY,20,1554149906,69,-34.48,-54.34,75.76,4.38
183,Sao Joao da Barra,BR,75,1554145200,65,-21.64,-41.05,78.8,13.87
184,Kibala,TD,20,1554145200,34,9.11,18.35,95,6.85
185,San Policarpo,PH,92,1554149375,100,12.18,125.51,75.58,8.86
186,Soloneshnoye,RU,12,1554149907,79,51.65,84.32,26.35,2.19
187,Okhotsk,RU,8,1554149540,86,59.36,143.24,18.88,7.56
188,Maryville,US,1,1554149484,9,40.35,-94.87,57.2,16.11
189,Umm Lajj,SA,0,1554149645,100,25.02,37.27,57.13,5.1
190,Imbituba,BR,20,1554145200,65,-28.24,-48.67,82.4,6.93
191,Banda Aceh,ID,68,1554149907,99,5.56,95.32,75.31,2.19
192,Angoche,MZ,20,1554149435,100,-16.23,39.91,79.36,9.42
193,Mahon,IE,75,1554147000,75,51.89,-8.4,46.4,10.29
194,Bubaque,GW,0,1554149390,95,11.28,-15.83,82.06,11.03
195,Middle Island,US,20,1554149905,30,40.88,-72.94,46.99,11.41
196,Nezhinka,RU,0,1554147000,69,51.77,55.37,32,2.24
197,Falam,MM,92,1554149908,93,22.91,93.68,59.56,0.85
198,Marawi,PH,56,1554148883,90,8,124.29,73.99,4
199,Bela,PK,8,1554149729,49,26.23,66.31,60.37,1.07
200,Kingori,TZ,20,1554145200,65,-3.38,37.02,78.8,11.41
201,Quimperle,FR,12,1554149902,93,47.87,-3.55,55,6.93
202,Provideniya,RU,24,1554149055,100,64.42,-173.23,28.24,10.92
203,Smolyaninovo,RU,0,1554147000,85,43.29,132.46,15.8,2.59
204,Yar-Sale,RU,12,1554149433,74,66.83,70.83,13.48,4.09
205,Rodrigues Alves,BR,75,1554145200,66,-7.74,-72.65,87.8,9.17
206,Ostrovnoy,RU,88,1554149375,85,68.05,39.51,21.13,14.27
207,Nikolskoye,RU,0,1554148836,69,59.7,30.79,36,8.95
208,Kenai,US,1,1554148924,69,60.55,-151.26,46,2.53
209,Namatanai,PG,44,1554149426,100,-3.66,152.44,81.88,9.91
210,Killybegs,IE,90,1554149824,93,54.63,-8.45,42.8,12.75
211,Pantai Remis,MY,75,1554145200,94,4.46,100.63,77,3.27
212,Puerto Carreno,CO,40,1554145200,44,6.19,-67.49,96.8,3.36
213,Tiksi,RU,8,1554149337,69,71.64,128.87,4.48,2.53
214,Dikson,RU,80,1554149325,99,73.51,80.55,26.8,24.63
215,Alyangula,AU,75,1554145200,94,-13.85,136.42,77,14.27
216,Iqaluit,CA,20,1554148938,71,63.75,-68.52,6.8,4.7
217,Formosa,AR,90,1554145200,78,-26.19,-58.17,73.4,9.17
218,Minot,US,75,1554149885,39,48.23,-101.3,46.4,21.92
219,Gamba,CN,36,1554149381,77,28.28,88.52,2.86,1.59
220,Novyy Urengoy,RU,88,1554149912,84,66.08,76.63,21.49,10.76
221,Nishihara,JP,20,1554149617,80,35.74,139.53,41,9.17
222,Port Moresby,PG,20,1554148800,100,-9.47,147.16,73.4,5.82
223,Buala,SB,92,1554149559,98,-8.15,159.59,80.26,5.88
224,Phonhong,LA,80,1554149600,100,18.5,102.42,70.99,2.53
225,East London,ZA,32,1554149059,100,-33.02,27.91,66.31,24.34
226,Gangoh,IN,0,1554149913,75,29.78,77.26,61.09,2.82
227,Biritiba-Mirim,BR,40,1554149705,48,-23.57,-46.04,82.4,6.93
228,Lavrentiya,RU,44,1554149401,100,65.58,-170.99,26.26,1.97
229,Berdychiv,UA,0,1554149914,53,49.89,28.58,34.99,11.81
230,Belaya Gora,RU,8,1554149677,69,68.54,146.19,-1.56,5.5
231,San Fernando,TT,20,1554149792,49,10.28,-61.46,89.6,14.99
232,Kulhudhuffushi,MV,64,1554149119,100,6.62,73.07,82.15,2.59
233,San Cristobal,EC,75,1554148812,64,-0.39,-78.55,68,16.11
234,Norrtalje,SE,0,1554149915,51,59.76,18.7,37.4,9.17
235,Were Ilu,ET,12,1554149915,94,10.6,39.43,49.93,1.36
236,Westport,IE,20,1554149292,90,53.8,-9.52,41,3
237,Tautira,PF,75,1554148959,66,-17.73,-149.15,87.8,12.75
238,Alice Springs,AU,0,1554147000,37,-23.7,133.88,50,3.36
239,Sinop,TR,92,1554149916,96,42.03,35.15,47.5,17.07
240,Christchurch,NZ,24,1554148986,87,-43.53,172.64,51.01,3.36
241,Kholodnyy,RU,64,1554149916,72,62.72,147.95,3.58,3.09
242,Darovskoy,RU,0,1554149916,96,58.77,47.96,28.69,6.29
243,Paamiut,GL,92,1554149136,100,61.99,-49.67,29.95,24.23
244,Manoel Urbano,BR,24,1554149917,64,-8.84,-69.26,88.9,2.59
245,General Salgado,BR,44,1554149917,70,-20.65,-50.36,83.68,3.09
246,Aleksandrovsk-Sakhalinskiy,RU,80,1554149896,87,50.9,142.16,23.83,11.65
247,Gat,SN,0,1554147000,60,14.69,-16.54,71.6,18.34
248,Mar del Plata,AR,64,1554149362,52,-46.43,-67.52,69.46,24.4
249,Jaypur,IN,0,1554149424,68,23.05,87.44,82,2.75
250,Viransehir,TR,92,1554149918,96,37.24,39.76,49.66,7.4
251,Kamaishi,JP,0,1554149918,88,39.28,141.86,26.35,5.21
252,Lufilufi,WS,20,1554149558,78,-13.87,-171.6,86,3.36
253,Tokmak,UA,92,1554149918,58,47.26,35.7,55.15,16.46
254,Kiunga,PG,88,1554149919,97,-6.12,141.3,72.25,1.25
255,Pangnirtung,CA,20,1554145200,65,66.15,-65.72,6.8,2.24
256,Petropavlovsk-Kamchatskiy,RU,40,1554147000,92,53.05,158.65,28.4,4.47
257,Bima,ID,0,1554149919,100,-8.45,118.73,71.98,2.82
258,Zeerust,ZA,64,1554148800,53,-25.54,26.07,73.4,3.36
